task,model,reasoning,difficulty_sd,tokens,performance,exact15
Addition,deepseek__deepseek-chat-v3.1,high,11.0,6592,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,8163,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,391,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,33.0,7769,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,4958,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,6102,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,669,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,3745,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,34.0,6895,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,2755,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,7.0,9102,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,5772,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,19.0,2338,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,33.0,4275,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,4046,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,8287,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,57.0,5605,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,37.0,6508,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,7407,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,2740,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,35.0,4398,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,23.0,4172,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,10.0,5148,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,50.0,3097,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,26.0,8168,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,7407,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,2579,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,5406,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,8743,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,33.0,3877,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,5103,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,11529,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,1637,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,6659,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,5173,0.26738329045390535,0
Addition,deepseek__deepseek-chat-v3.1,high,0.0,1817,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,53.0,5894,0.9134049589579988,0
Addition,deepseek__deepseek-chat-v3.1,high,40.0,11973,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,25.0,1741,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,43.0,2619,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,5809,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,8647,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,30.0,4106,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,9363,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,3357,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,6.0,9421,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,239,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,6794,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,1508,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,7691,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,35.0,11199,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,23.0,6566,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,40.0,8385,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,2.0,936,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,30.0,3868,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,49.0,7167,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,8839,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,25.0,5291,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,2362,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,3969,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,59.0,8427,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,32.0,7509,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,3900,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,7901,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,44.0,3642,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,3992,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,4633,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,6825,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,4433,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,30.0,4058,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,10.0,240,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,1276,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,5471,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,4995,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,2993,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,6683,0.9716696185951783,0
Addition,deepseek__deepseek-chat-v3.1,high,0.0,4581,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,3447,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,31.0,3803,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,6299,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,4011,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,25.0,6635,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,5306,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,25.0,3463,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,43.0,8630,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,32.0,5063,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,23.0,10150,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,314,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,2.0,5414,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,11790,0.9988977265284821,0
Addition,deepseek__deepseek-chat-v3.1,high,37.0,6516,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,8038,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,45.0,8963,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,12639,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,3539,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,25.0,7271,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,22.0,5576,0.0006525530361472469,0
Addition,deepseek__deepseek-chat-v3.1,high,5.0,5828,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,26.0,4360,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,370,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,48.0,5439,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,1345,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,8859,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,32.0,5635,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,7394,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,7571,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,5702,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,5955,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,4087,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,43.0,3954,0.5889874748364847,0
Addition,deepseek__deepseek-chat-v3.1,high,19.0,5303,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,5545,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,19.0,7715,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,3031,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,23.0,5907,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,7.0,3664,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,4787,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,5387,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,12323,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,7457,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,21.0,4708,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,34.0,6336,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,2.0,2412,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,6.0,3985,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,32.0,6670,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,34.0,10741,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,4313,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,24.0,7063,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,40.0,9304,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,6.0,468,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,40.0,8671,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,2817,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,6143,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,51.0,7458,0.4674413216237186,0
Addition,deepseek__deepseek-chat-v3.1,high,7.0,6176,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,-1,0.0,0
Addition,deepseek__deepseek-chat-v3.1,high,3.0,2764,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,7743,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,26.0,1163,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,4462,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,7279,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,9046,0.07843757363363309,0
Addition,deepseek__deepseek-chat-v3.1,high,3.0,1322,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,1000,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,8048,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,2.0,12085,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,336,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,8243,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,5591,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,503,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,6275,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,49.0,3713,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,956,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,11.0,1591,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,5529,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,7.0,4806,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,34.0,6431,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,23.0,8328,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,8704,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,2654,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,6276,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,38.0,10015,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,49.0,5057,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,35.0,4688,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,6.0,1655,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,8420,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,38.0,4545,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,2521,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,34.0,6559,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,4117,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,3526,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,44.0,9980,1.0,0
Addition,deepseek__deepseek-chat-v3.1,high,1.0,5808,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,11.0,9174,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,4976,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,7446,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,6370,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,1466,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,47.0,5132,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,1572,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,6281,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,47.0,6416,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,53.0,8684,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,5107,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,2824,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,1753,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,2023,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,2584,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,1572,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,8712,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,22.0,4285,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,26.0,3576,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,52.0,6818,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,43.0,6989,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,32.0,7849,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,9660,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,43.0,6171,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,4898,1.0,0
Addition,deepseek__deepseek-chat-v3.1,high,37.0,8360,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,4136,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,5699,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,11.0,1578,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,2481,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,21.0,4099,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,30.0,9995,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,7.0,2747,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,33.0,4771,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,9101,0.5481958907539594,0
Addition,deepseek__deepseek-chat-v3.1,high,13.0,416,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,6659,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,44.0,7043,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,8256,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,6306,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,51.0,8015,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,10428,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,444,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,22.0,7178,0.9179143936672559,0
Addition,deepseek__deepseek-chat-v3.1,high,4.0,292,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,4392,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,6328,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,836,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,5881,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,7111,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,835,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,4806,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,4871,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,3226,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,719,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,38.0,8872,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,10277,0.5840383177037863,0
Addition,deepseek__deepseek-chat-v3.1,high,47.0,6892,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,54.0,5816,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,8713,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,2428,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,38.0,4380,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,5666,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,8121,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,2023,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,19.0,2978,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,11.0,7925,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,7505,0.7617976831046336,0
Addition,deepseek__deepseek-chat-v3.1,high,43.0,3021,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,7860,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,4276,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,4072,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,19.0,6990,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,54.0,5317,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,2749,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,6990,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,1986,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,6492,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,2730,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,25.0,1874,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,11629,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,34.0,13291,-0.0,0
Addition,deepseek__deepseek-chat-v3.1,high,22.0,3344,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,47.0,4951,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,6056,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,26.0,10682,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,4892,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,4872,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,2712,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,3834,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,24.0,13471,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,5394,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,334,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,489,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,819,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,37.0,10639,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,19.0,1751,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,19.0,4219,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,40.0,7580,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,18.0,16844,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,920,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,31.0,10111,0.7969301933206379,0
Addition,deepseek__deepseek-chat-v3.1,high,25.0,3280,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,7446,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,2011,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,1659,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,3450,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,22.0,8033,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,48.0,10147,0.9987674515872041,0
Addition,deepseek__deepseek-chat-v3.1,high,55.0,4559,0.8532755488295336,0
Addition,deepseek__deepseek-chat-v3.1,high,0.0,3300,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,7361,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,16.0,5790,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,57.0,12431,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,23.0,3957,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,9629,0.6424574511179854,0
Addition,deepseek__deepseek-chat-v3.1,high,23.0,2445,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,10.0,6662,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,31.0,4029,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,48.0,9210,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,2703,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,1730,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,-1,0.0,0
Addition,deepseek__deepseek-chat-v3.1,high,14.0,6348,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,43.0,10196,1.0,0
Addition,deepseek__deepseek-chat-v3.1,high,25.0,5179,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,49.0,8966,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,10058,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,2120,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,782,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,14.0,6340,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,7088,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,6802,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,1904,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,21.0,5571,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,1432,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,4430,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,4965,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,6636,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,3.0,792,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,21.0,7472,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,48.0,5571,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,4689,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,4620,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,40.0,6194,0.012464853959397266,0
Addition,deepseek__deepseek-chat-v3.1,high,3.0,8674,0.9559960434370012,0
Addition,deepseek__deepseek-chat-v3.1,high,1.0,6135,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,22.0,13036,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,24.0,2253,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,11095,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,27.0,6116,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,42.0,10124,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,7958,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,11.0,574,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,20.0,6948,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,8231,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,32.0,10855,0.23555710659241644,0
Addition,deepseek__deepseek-chat-v3.1,high,16.0,6104,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,10.0,13118,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,15.0,5660,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,6.0,9440,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,3758,1.0,1
